ダウンロードした時刻：2021/10/27 23:34:03,,,
2019/11/26,8.8,8,1
2019/11/27,9.3,8,1
2019/11/28,8.5,8,1
2019/11/29,5.2,8,1
2019/11/30,7.3,8,1
2019/12/1,7.4,8,1
2019/12/2,9.5,8,1
2019/12/3,11.8,5,1
2019/12/4,10.2,8,1
2019/12/5,9.6,8,1
2019/12/6,8,8,1
2019/12/7,5.5,8,1
2019/12/8,7.4,8,1
2019/12/9,6.4,5,1
2019/12/10,10.2,8,1
2019/12/11,11.7,8,1
2019/12/12,11.7,8,1
2019/12/13,7.5,8,1
2019/12/14,9.4,8,1
2019/12/15,8.7,8,1
2019/12/16,7.8,8,1
2019/12/17,8.2,8,1
2019/12/18,11.1,8,1
2019/12/19,9,8,1
2019/12/20,10.6,8,1
2019/12/21,8.1,8,1
2019/12/22,6.8,8,1
2019/12/23,6.8,8,1
2019/12/24,8.2,8,1
2019/12/25,5.9,8,1
2019/12/26,7.8,8,1
2019/12/27,8.7,8,1
2019/12/28,6.8,8,1
2019/12/29,7,8,1
2019/12/30,6.7,8,1
2019/12/31,8.2,8,1
2020/1/1,5.5,8,1
2020/1/2,6.2,8,1
2020/1/3,6.1,8,1
2020/1/4,7.2,8,1
2020/1/5,5.4,8,1
2020/1/6,7.5,8,1
2020/1/7,5.7,8,1
2020/1/8,5.2,8,1
2020/1/9,10.6,8,1
2020/1/10,8.4,8,1
2020/1/11,7,8,1
2020/1/12,6.7,8,1
2020/1/13,8.5,8,1
2020/1/14,8.4,8,1
2020/1/15,6.8,8,1
2020/1/16,6.7,8,1
2020/1/17,7.3,8,1
2020/1/18,3.8,8,1
2020/1/19,6.5,8,1
2020/1/20,7.5,8,1
2020/1/21,7.4,8,1
2020/1/22,4.9,8,1
2020/1/23,6.1,8,1
2020/1/24,9.9,8,1
2020/1/25,7.8,8,1
2020/1/26,5,8,1
2020/1/27,5.1,8,1
2020/1/28,4.4,8,1
2020/1/29,11.8,8,1
2020/1/30,11.7,8,1
2020/1/31,8.1,8,1
2020/2/1,7.9,8,1
2020/2/2,8.7,8,1
2020/2/3,9.3,8,1
2020/2/4,7.9,8,1
2020/2/5,7.6,8,1
2020/2/6,2.9,8,1
2020/2/7,2.4,8,1
2020/2/8,6.2,8,1
2020/2/9,3.9,8,1
2020/2/10,4.6,8,1
2020/2/11,6.3,8,1
2020/2/12,8.7,8,1
2020/2/13,11.7,8,1
2020/2/14,12,8,1
2020/2/15,12.4,8,1
2020/2/16,9.3,8,1
2020/2/17,10.3,8,1
2020/2/18,7.6,8,1
2020/2/19,8.1,8,1
2020/2/20,9,8,1
2020/2/21,10,8,1
2020/2/22,12.5,8,1
2020/2/23,10.4,8,1
2020/2/24,9.8,8,1
2020/2/25,10.5,8,1
2020/2/26,8.1,8,1
2020/2/27,7,8,1
2020/2/28,7,8,1
2020/2/29,9.4,8,1
2020/3/1,12,8,1
2020/3/2,7.3,8,1
2020/3/3,11.3,8,1
2020/3/4,8.9,8,1
2020/3/5,9.2,8,1
2020/3/6,9.4,8,1
2020/3/7,7.3,8,1
2020/3/8,7.2,8,1
2020/3/9,13.1,8,1
2020/3/10,14.7,8,1
2020/3/11,15.3,8,1
2020/3/12,11.4,8,1
2020/3/13,12.5,8,1
2020/3/14,5.5,8,1
2020/3/15,7.1,8,1
2020/3/16,7.1,8,1
2020/3/17,7.7,8,1
2020/3/18,11.9,8,1
2020/3/19,14.6,8,1
2020/3/20,14.5,8,1
2020/3/21,13.8,8,1
2020/3/22,16.8,8,1
2020/3/23,10.3,8,1
2020/3/24,8.2,8,1
2020/3/25,10,8,1
2020/3/26,13,8,1
2020/3/27,16.2,8,1
2020/3/28,15.5,8,1
2020/3/29,3.6,8,1
2020/3/30,7.6,8,1
2020/3/31,9.8,8,1
2020/4/1,11.4,8,1
2020/4/2,13.9,8,1
2020/4/3,12.8,8,1
2020/4/4,15.7,8,1
2020/4/5,10.2,8,1
2020/4/6,12.1,8,1
2020/4/7,12.4,8,1
2020/4/8,14.3,8,1
2020/4/9,13.3,8,1
2020/4/10,11.2,8,1
2020/4/11,11.4,8,1
2020/4/12,10.3,8,1
2020/4/13,8,8,1
2020/4/14,10.9,8,1
2020/4/15,13.8,8,1
2020/4/16,11.7,8,1
2020/4/17,12.4,8,1
2020/4/18,12.9,8,1
2020/4/19,14.7,8,1
2020/4/20,9.7,8,1
2020/4/21,14.2,8,1
2020/4/22,13.5,8,1
2020/4/23,11.9,8,1
2020/4/24,12.2,8,1
2020/4/25,12.7,8,1
2020/4/26,18.3,8,1
2020/4/27,12.8,8,1
2020/4/28,12.3,8,1
2020/4/29,15.1,8,1
2020/4/30,18,8,1
2020/5/1,19.9,8,1
2020/5/2,20.6,8,1
2020/5/3,20.7,8,1
2020/5/4,19.3,8,1
2020/5/5,21.3,8,1
2020/5/6,15.8,8,1
2020/5/7,16.5,8,1
2020/5/8,16.7,8,1
2020/5/9,18.3,8,1
2020/5/10,21.5,8,1
2020/5/11,22.9,8,1
2020/5/12,21.7,8,1
2020/5/13,22.3,8,1
2020/5/14,20.8,8,1
2020/5/15,21.5,8,1
2020/5/16,18.5,8,1
2020/5/17,21.6,8,1
2020/5/18,19.2,8,1
2020/5/19,17.7,8,1
2020/5/20,12.7,8,1
2020/5/21,12.7,8,1
2020/5/22,15.3,8,1
2020/5/23,18.4,8,1
2020/5/24,20.8,8,1
2020/5/25,21.6,8,1
2020/5/26,20.9,8,1
2020/5/27,21.4,8,1
2020/5/28,19.4,8,1
2020/5/29,20.7,8,1
2020/5/30,22,8,1
2020/5/31,21.3,8,1
2020/6/1,19.6,8,1
2020/6/2,22.3,8,1
2020/6/3,24,8,1
2020/6/4,23.5,8,1
2020/6/5,24.8,8,1
2020/6/6,24.2,8,1
2020/6/7,22,8,1
2020/6/8,23.2,8,1
2020/6/9,25.5,8,1
2020/6/10,26.2,8,1
2020/6/11,25.1,8,1
2020/6/12,26.2,8,1
2020/6/13,21.3,8,1
2020/6/14,21.7,8,1
2020/6/15,25.9,8,1
2020/6/16,25.5,8,1
2020/6/17,23.6,8,1
2020/6/18,22.1,8,1
2020/6/19,18.7,8,1
2020/6/20,22.9,8,1
2020/6/21,21.9,8,1
2020/6/22,19.2,8,1
2020/6/23,22.3,8,1
2020/6/24,22.5,8,1
2020/6/25,20.2,8,1
2020/6/26,24.7,8,1
2020/6/27,25.5,8,1
2020/6/28,22.2,8,1
2020/6/29,24.9,8,1
2020/6/30,24.6,8,1
2020/7/1,25.1,8,1
2020/7/2,25.9,8,1
2020/7/3,23.8,8,1
2020/7/4,23.8,8,1
2020/7/5,24.9,8,1
2020/7/6,24.8,8,1
2020/7/7,27.2,8,1
2020/7/8,26,8,1
2020/7/9,23.7,8,1
2020/7/10,25.3,8,1
2020/7/11,27.5,8,1
2020/7/12,26,8,1
2020/7/13,21,8,1
2020/7/14,22.3,8,1
2020/7/15,20.4,8,1
2020/7/16,20.7,8,1
2020/7/17,19.3,8,1
2020/7/18,20.4,8,1
2020/7/19,24.3,8,1
2020/7/20,26.9,8,1
2020/7/21,25.5,8,1
2020/7/22,26.6,8,1
2020/7/23,23.2,8,1
2020/7/24,24.5,8,1
2020/7/25,25.1,8,1
2020/7/26,25.6,8,1
2020/7/27,26.3,8,1
2020/7/28,26.7,8,1
2020/7/29,22.9,8,1
2020/7/30,23.2,8,1
2020/7/31,24.8,8,1
2020/8/1,26.1,8,1
2020/8/2,26.3,8,1
2020/8/3,27.2,8,1
2020/8/4,28.3,8,1
2020/8/5,29.1,8,1
2020/8/6,28.5,8,1
2020/8/7,29.5,8,1
2020/8/8,28.1,8,1
2020/8/9,28.7,8,1
2020/8/10,30.5,8,1
2020/8/11,31.7,8,1
2020/8/12,30,8,1
2020/8/13,29.4,8,1
2020/8/14,29.4,8,1
2020/8/15,31,8,1
2020/8/16,31.2,8,1
2020/8/17,30.8,8,1
2020/8/18,30.3,8,1
2020/8/19,29,8,1
2020/8/20,29.7,8,1
2020/8/21,30.1,8,1
2020/8/22,29.3,8,1
2020/8/23,25.6,8,1
2020/8/24,27.2,8,1
2020/8/25,27.8,8,1
2020/8/26,28.8,8,1
2020/8/27,29.3,8,1
2020/8/28,30.2,8,1
2020/8/29,30.3,8,1
2020/8/30,30,8,1
2020/8/31,27.5,8,1
2020/9/1,24.9,8,1
2020/9/2,26.8,8,1
2020/9/3,28.4,8,1
2020/9/4,29.3,8,1
2020/9/5,28.6,8,1
2020/9/6,25.7,8,1
2020/9/7,26.7,8,1
2020/9/8,29.5,8,1
2020/9/9,29,8,1
2020/9/10,27.7,8,1
2020/9/11,28.3,8,1
2020/9/12,23.7,8,1
2020/9/13,23.3,8,1
2020/9/14,23.4,8,1
2020/9/15,23.8,8,1
2020/9/16,24,8,1
2020/9/17,24.9,8,1
2020/9/18,29,8,1
2020/9/19,24.7,8,1
2020/9/20,22.2,8,1
2020/9/21,22,8,1
2020/9/22,22.5,8,1
2020/9/23,20.2,8,1
2020/9/24,19,8,1
2020/9/25,19.4,8,1
2020/9/26,18.5,8,1
2020/9/27,19.7,8,1
2020/9/28,21.5,8,1
2020/9/29,19.7,8,1
2020/9/30,20,8,1
2020/10/1,19.5,8,1
2020/10/2,21,8,1
2020/10/3,21.7,8,1
2020/10/4,22,8,1
2020/10/5,21.7,8,1
2020/10/6,21,8,1
2020/10/7,18.3,8,1
2020/10/8,14.7,8,1
2020/10/9,14.5,8,1
2020/10/10,16,8,1
2020/10/11,19.8,8,1
2020/10/12,21.5,8,1
2020/10/13,22.1,8,1
2020/10/14,20.3,8,1
2020/10/15,16.8,8,1
2020/10/16,16.1,8,1
2020/10/17,12.7,8,1
2020/10/18,14.3,8,1
2020/10/19,13.1,8,1
2020/10/20,15.6,8,1
2020/10/21,16,8,1
2020/10/22,17.4,8,1
2020/10/23,16.8,8,1
2020/10/24,17.3,8,1
2020/10/25,15.5,8,1
2020/10/26,16.2,8,1
2020/10/27,16.7,8,1
2020/10/28,16.6,8,1
2020/10/29,17.3,8,1
2020/10/30,14.9,8,1
2020/10/31,13.8,8,1
2020/11/1,14.3,8,1
2020/11/2,15.6,8,1
2020/11/3,14.8,8,1
2020/11/4,13.7,8,1
2020/11/5,13.4,8,1
2020/11/6,12.8,5,1
2020/11/7,15.5,8,1
2020/11/8,17.3,8,1
2020/11/9,13.5,8,1
2020/11/10,11.9,8,1
2020/11/11,11.9,8,1
2020/11/12,10.2,8,1
2020/11/13,13.7,8,1
2020/11/14,14.7,8,1
2020/11/15,13.4,8,1
2020/11/16,14.7,8,1
2020/11/17,15.2,8,1
2020/11/18,15.8,8,1
2020/11/19,19.1,8,1
2020/11/20,21.9,8,1
2020/11/21,16.6,8,1
2020/11/22,15,8,1
2020/11/23,15.5,8,1
2020/11/24,11.8,8,1
2020/11/25,10.5,8,1
2020/11/26,12.8,8,1
2020/11/27,11.6,8,1
2020/11/28,11.8,8,1
2020/11/29,10.1,8,1
2020/11/30,9.9,8,1
2020/12/1,10.2,8,1
2020/12/2,8.2,8,1
2020/12/3,8.1,8,1
2020/12/4,9.2,8,1
2020/12/5,6.6,8,1
2020/12/6,8.2,8,1
2020/12/7,9.7,8,1
2020/12/8,11.4,8,1
2020/12/9,9.8,8,1
2020/12/10,9.3,8,1
2020/12/11,10.2,8,1
2020/12/12,11.4,8,1
2020/12/13,9.9,8,1
2020/12/14,8.5,8,1
2020/12/15,6.1,8,1
2020/12/16,4.6,8,1
2020/12/17,4.3,8,1
2020/12/18,6.1,8,1
2020/12/19,5.8,8,1
2020/12/20,4.4,8,1
2020/12/21,5.3,8,1
2020/12/22,5.6,8,1
2020/12/23,7.7,8,1
2020/12/24,8,8,1
2020/12/25,8.7,8,1
2020/12/26,6.4,8,1
2020/12/27,7.8,8,1
2020/12/28,8.5,8,1
2020/12/29,8.7,8,1
2020/12/30,6.9,8,1
2020/12/31,3.4,8,1
2021/1/1,4.4,8,1
2021/1/2,4.8,8,1
2021/1/3,3.7,8,1
2021/1/4,5.8,8,1
2021/1/5,6,8,1
2021/1/6,5.3,8,1
2021/1/7,6.3,8,1
2021/1/8,2.4,8,1
2021/1/9,2.9,8,1
2021/1/10,2.6,8,1
2021/1/11,2.3,8,1
2021/1/12,3.4,8,1
2021/1/13,5.8,8,1
2021/1/14,7.9,8,1
2021/1/15,6.6,8,1
2021/1/16,10,8,1
2021/1/17,6.1,8,1
2021/1/18,4.3,8,1
2021/1/19,4.4,8,1
2021/1/20,3.9,8,1
2021/1/21,4.8,8,1
2021/1/22,8.7,8,1
2021/1/23,6.4,8,1
2021/1/24,4.3,8,1
2021/1/25,7.6,8,1
2021/1/26,7.5,8,1
2021/1/27,10.3,8,1
2021/1/28,4.4,8,1
2021/1/29,5.3,8,1
2021/1/30,4.1,8,1
2021/1/31,5.4,8,1
2021/2/1,7.2,8,1
2021/2/2,8.8,8,1
2021/2/3,6.2,8,1
2021/2/4,7,8,1
2021/2/5,7.1,8,1
2021/2/6,8.9,8,1
2021/2/7,9.9,8,1
2021/2/8,6.1,8,1
2021/2/9,4.7,8,1
2021/2/10,6.7,8,1
2021/2/11,8.7,8,1
2021/2/12,7.8,8,1
2021/2/13,10.4,8,1
2021/2/14,12.3,8,1
2021/2/15,11.4,8,1
2021/2/16,10.6,8,1
2021/2/17,7.6,8,1
2021/2/18,4.3,8,1
2021/2/19,6.9,8,1
2021/2/20,10.2,8,1
2021/2/21,13.9,8,1
2021/2/22,14.9,8,1
2021/2/23,11,8,1
2021/2/24,6.4,8,1
2021/2/25,6.6,8,1
2021/2/26,8.7,8,1
2021/2/27,5.7,8,1
2021/2/28,6.6,8,1
2021/3/1,11.8,8,1
2021/3/2,13.5,8,1
2021/3/3,7.4,8,1
2021/3/4,9,8,1
2021/3/5,11.8,8,1
2021/3/6,13.8,8,1
2021/3/7,7.8,8,1
2021/3/8,6.6,8,1
2021/3/9,9.6,8,1
2021/3/10,12,8,1
2021/3/11,9.9,8,1
2021/3/12,12.7,8,1
2021/3/13,11.1,8,1
2021/3/14,12.5,8,1
2021/3/15,12.9,8,1
2021/3/16,14.5,8,1
2021/3/17,13.7,8,1
2021/3/18,12.3,8,1
2021/3/19,12.9,8,1
2021/3/20,14.1,8,1
2021/3/21,16.7,8,1
2021/3/22,12.1,8,1
2021/3/23,10.8,8,1
2021/3/24,13.8,8,1
2021/3/25,14.5,8,1
2021/3/26,14.5,8,1
2021/3/27,13.7,8,1
2021/3/28,16.5,8,1
2021/3/29,17.5,8,1
2021/3/30,17.8,8,1
2021/3/31,17.9,8,1
2021/4/1,16.6,8,1
2021/4/2,16,8,1
2021/4/3,16.9,8,1
2021/4/4,18.5,8,1
2021/4/5,12.9,8,1
2021/4/6,10.6,8,1
2021/4/7,13.3,8,1
2021/4/8,13.3,8,1
2021/4/9,11.9,8,1
2021/4/10,10.4,8,1
2021/4/11,12.5,8,1
2021/4/12,14.4,8,1
2021/4/13,15.7,8,1
2021/4/14,15.3,8,1
2021/4/15,10.7,8,1
2021/4/16,13.7,8,1
2021/4/17,15.7,8,1
2021/4/18,16.4,8,1
2021/4/19,15.8,8,1
2021/4/20,17.2,8,1
2021/4/21,19.1,8,1
2021/4/22,18.1,8,1
2021/4/23,13.8,8,1
2021/4/24,15.3,8,1
2021/4/25,16.9,8,1
2021/4/26,13.4,8,1
2021/4/27,14.6,8,1
2021/4/28,18.2,8,1
2021/4/29,17.2,8,1
2021/4/30,18.8,8,1
2021/5/1,17.7,8,1
2021/5/2,16.3,8,1
2021/5/3,16.4,8,1
2021/5/4,18,8,1
2021/5/5,18.3,8,1
2021/5/6,18.5,8,1
2021/5/7,17.5,8,1
2021/5/8,19.5,8,1
2021/5/9,23,8,1
2021/5/10,20.2,8,1
2021/5/11,17.5,8,1
2021/5/12,17.9,8,1
2021/5/13,16.1,8,1
2021/5/14,20.8,8,1
2021/5/15,21.2,8,1
2021/5/16,20,8,1
2021/5/17,23,8,1
2021/5/18,20.5,8,1
2021/5/19,17.2,8,1
2021/5/20,19.1,8,1
2021/5/21,21.7,8,1
2021/5/22,20,8,1
2021/5/23,19.6,8,1
2021/5/24,22.1,8,1
2021/5/25,22.4,8,1
2021/5/26,21.1,8,1
2021/5/27,16.9,8,1
2021/5/28,20.5,8,1
2021/5/29,22.8,8,1
2021/5/30,21.2,8,1
2021/5/31,20.6,8,1
2021/6/1,20.1,8,1
2021/6/2,22,8,1
2021/6/3,22.1,8,1
2021/6/4,21,8,1
2021/6/5,22.1,8,1
2021/6/6,21.7,8,1
2021/6/7,23.4,8,1
2021/6/8,24.8,8,1
2021/6/9,24.5,8,1
2021/6/10,24.1,8,1
2021/6/11,23.7,8,1
2021/6/12,23.3,8,1
2021/6/13,24.3,8,1
2021/6/14,21,8,1
2021/6/15,23.4,8,1
2021/6/16,22.2,8,1
2021/6/17,21.8,8,1
2021/6/18,22.8,8,1
2021/6/19,20.3,8,1
2021/6/20,22.8,8,1
2021/6/21,22.9,8,1
2021/6/22,23.1,8,1
2021/6/23,22,8,1
2021/6/24,22.8,8,1
2021/6/25,23.3,8,1
2021/6/26,24.2,8,1
2021/6/27,23.7,8,1
2021/6/28,24.4,8,1
2021/6/29,21.9,8,1
2021/6/30,20.6,8,1
2021/7/1,20.9,8,1
2021/7/2,21.2,8,1
2021/7/3,22.2,8,1
2021/7/4,20.1,8,1
2021/7/5,22.1,8,1
2021/7/6,24.7,8,1
2021/7/7,25.8,8,1
2021/7/8,23.7,8,1
2021/7/9,23.5,8,1
2021/7/10,27,8,1
2021/7/11,24.7,8,1
2021/7/12,25.8,8,1
2021/7/13,25.5,8,1
2021/7/14,25.3,8,1
2021/7/15,26.4,8,1
2021/7/16,27.7,8,1
2021/7/17,27.4,8,1
2021/7/18,28.1,8,1
2021/7/19,29.2,8,1
2021/7/20,28.8,8,1
2021/7/21,28.4,8,1
2021/7/22,28.4,8,1
2021/7/23,28.4,8,1
2021/7/24,28.5,8,1
2021/7/25,28.5,8,1
2021/7/26,27.5,8,1
2021/7/27,24.9,8,1
2021/7/28,27.7,8,1
2021/7/29,27.8,8,1
2021/7/30,25.8,8,1
2021/7/31,27.5,8,1
2021/8/1,28.7,8,1
2021/8/2,28.6,8,1
2021/8/3,29,8,1
2021/8/4,29.5,8,1
2021/8/5,29.1,8,1
2021/8/6,29.1,8,1
2021/8/7,27.9,8,1
2021/8/8,25.9,8,1
2021/8/9,28.1,8,1
2021/8/10,31,8,1
2021/8/11,29.2,8,1
2021/8/12,26,8,1
2021/8/13,22.5,8,1
2021/8/14,22.3,8,1
2021/8/15,19.3,8,1
2021/8/16,20.7,8,1
2021/8/17,23.7,8,1
2021/8/18,27,8,1
2021/8/19,28.5,8,1
2021/8/20,28.7,8,1
2021/8/21,27.9,8,1
2021/8/22,28.5,8,1
2021/8/23,26.9,8,1
2021/8/24,27.5,8,1
2021/8/25,29.4,8,1
2021/8/26,30.5,8,1
2021/8/27,30,8,1
2021/8/28,29.8,8,1
2021/8/29,28.5,8,1
2021/8/30,29.2,8,1
2021/8/31,26.9,8,1
2021/9/1,20.7,8,1
2021/9/2,19.4,8,1
2021/9/3,19.7,8,1
2021/9/4,20.6,8,1
2021/9/5,21,8,1
2021/9/6,19.9,8,1
2021/9/7,20.4,8,1
2021/9/8,20.3,8,1
2021/9/9,20.5,8,1
2021/9/10,24.8,8,1
2021/9/11,25,8,1
2021/9/12,24.4,8,1
2021/9/13,25.2,8,1
2021/9/14,22.8,8,1
2021/9/15,22.9,8,1
2021/9/16,22.3,8,1
2021/9/17,22.3,8,1
2021/9/18,23.7,8,1
2021/9/19,23.9,8,1
2021/9/20,22.4,8,1
2021/9/21,22.7,8,1
2021/9/22,24.9,8,1
2021/9/23,26.6,8,1
2021/9/24,25.4,8,1
2021/9/25,22.1,8,1
2021/9/26,19.9,8,1
2021/9/27,20.1,8,1
2021/9/28,21.1,8,1
2021/9/29,21.9,8,1
2021/9/30,23.2,8,1
2021/10/1,19,8,1
2021/10/2,21.9,8,1
2021/10/3,22.1,8,1
2021/10/4,23.5,8,1
2021/10/5,23.9,8,1
2021/10/6,22.8,8,1
2021/10/7,21.3,8,1
2021/10/8,24.2,8,1
2021/10/9,22.7,8,1
2021/10/10,22.2,8,1
2021/10/11,24,8,1
2021/10/12,20.5,8,1
2021/10/13,17.4,8,1
2021/10/14,19.1,8,1
2021/10/15,20.7,8,1
2021/10/16,21,8,1
2021/10/17,15.7,8,1
2021/10/18,13.6,8,1
2021/10/19,13.5,8,1
2021/10/20,16.1,8,1
2021/10/21,15.4,8,1
2021/10/22,11.2,8,1
2021/10/23,13.6,8,1
2021/10/24,13.4,8,1
2021/10/25,14,8,1